bet_type,tie_rule,open_time,close_time,p1_dg_id,p2_dg_id,p3_dg_id,p1_player_name,p2_player_name,p3_player_name,p1_open,p1_close,p2_open,p2_close,p3_open,p3_close,p1_outcome,p2_outcome,p3_outcome,p1_outcome_text,p2_outcome_text,p3_outcome_text,book,event_completed,event_name,season,year,event_id,odds,round_num,tour_p1,dg_id_p1,fin_text_p1,course_name_p1,course_num_p1,course_par_p1,start_hole_p1,teetime_p1,round_score_p1,sg_putt_p1,sg_arg_p1,sg_app_p1,sg_ott_p1,sg_t2g_p1,sg_total_p1,driving_dist_p1,driving_acc_p1,gir_p1,scrambling_p1,prox_rgh_p1,prox_fw_p1,great_shots_p1,poor_shots_p1,eagles_or_better_p1,birdies_p1,pars_p1,bogies_p1,doubles_or_worse_p1,dg_id_p2,fin_text_p2,teetime_p2,round_score_p2,sg_putt_p2,sg_arg_p2,sg_app_p2,sg_ott_p2,sg_t2g_p2,sg_total_p2,driving_dist_p2,driving_acc_p2,gir_p2,scrambling_p2,prox_rgh_p2,prox_fw_p2,great_shots_p2,poor_shots_p2,eagles_or_better_p2,birdies_p2,pars_p2,bogies_p2,doubles_or_worse_p2,dg_id_p3,fin_text_p3,teetime_p3,round_score_p3,sg_putt_p3,sg_arg_p3,sg_app_p3,sg_ott_p3,sg_t2g_p3,sg_total_p3,driving_dist_p3,driving_acc_p3,gir_p3,scrambling_p3,prox_rgh_p3,prox_fw_p3,great_shots_p3,poor_shots_p3,eagles_or_better_p3,birdies_p3,pars_p3,bogies_p3,doubles_or_worse_p3,wx_lat,wx_lon,wx_date_from_close,wx_teetime,wx_temp,wx_feelslike,wx_humidity,wx_dew,wx_precip,wx_precipprob,wx_preciptype,wx_windspeed,wx_windgust,wx_winddir,wx_pressure,wx_visibility,wx_cloudcover,wx_conditions,wx_icon,wx_datetime_hour,wx_datetimeEpoch
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,6430.0,23604.0,27774.0,"scott, adam","clark, wyndham","gotterup, chris",3.1,3.1,2.7,2.7,2.4,2.4,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,6430.0,T53,TPC Twin Cities,883.0,71.0,1.0,12:43:00.000,69.0,-1.63,-0.825,0.728,1.624,1.527,-0.103,298.7,0.857,0.722,0.714,42.668,19.686,4.0,3.0,0.0,3.0,14.0,1.0,0.0,23604.0,T12,12:43:00.000,67.0,-0.609,1.512,1.204,-0.21,2.506,1.897,295.1,0.643,0.722,0.833,40.515,24.377,5.0,4.0,0.0,7.0,9.0,1.0,1.0,27774.0,T10,12:43:00.000,63.0,2.278,0.475,3.289,-0.145,3.619,5.897,301.8,0.5,0.722,1.0,31.587,21.391,8.0,2.0,1.0,6.0,11.0,0.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:43:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,6252.0,18474.0,21756.0,"baddeley, aaron","smalley, alex","cole, eric",4.6,4.6,2.1,2.1,2.4,2.4,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,6252.0,CUT,TPC Twin Cities,883.0,71.0,1.0,8:13:00.000,73.0,-1.996,0.089,-1.797,-0.399,-2.107,-4.103,275.1,0.571,0.611,0.571,74.095,27.546,3.0,7.0,0.0,2.0,12.0,4.0,0.0,18474.0,T44,8:13:00.000,71.0,-0.757,-0.408,0.196,-1.134,-1.346,-2.103,292.5,0.5,0.556,0.889,30.722,32.933,4.0,7.0,0.0,3.0,14.0,0.0,1.0,21756.0,CUT,8:13:00.000,75.0,-2.681,0.137,-2.435,-1.124,-3.422,-6.103,290.5,0.714,0.722,0.429,62.107,24.953,1.0,7.0,0.0,2.0,11.0,4.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,08:13:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,20722.0,23504.0,25003.0,"schmid, matti","hoey, rico","walker, danny",2.5,2.5,2.3,2.3,3.55,3.55,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,20722.0,T61,TPC Twin Cities,883.0,71.0,10.0,12:10:00.000,63.0,3.593,-0.408,1.413,1.299,2.304,5.897,306.8,0.571,0.944,1.0,36.134,21.673,4.0,1.0,0.0,8.0,10.0,0.0,0.0,23504.0,T57,12:10:00.000,68.0,-1.912,-0.716,2.166,1.359,2.809,0.897,290.4,0.786,0.944,0.5,32.533,20.138,3.0,4.0,0.0,4.0,13.0,1.0,0.0,25003.0,CUT,12:10:00.000,68.0,0.827,0.856,-1.774,0.988,0.07,0.897,302.4,0.643,0.722,0.8,22.712,28.635,5.0,4.0,0.0,5.0,12.0,0.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,12:10:00,77.6,77.6,70.03,67.1,0.0,0.0,,5.8,14.5,351.0,1015.2,9.9,89.0,Partially cloudy,partly-cloudy-day,12:00:00,1753376400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,6986.0,7960.0,12808.0,"johnson, zach","list, luke","grillo, emiliano",3.1,3.1,3.1,3.1,2.15,2.15,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,6986.0,CUT,TPC Twin Cities,883.0,71.0,1.0,8:02:00.000,72.0,-0.549,-1.29,-1.147,-0.117,-2.554,-3.103,276.0,0.786,0.778,0.75,37.854,22.804,2.0,4.0,0.0,2.0,14.0,1.0,1.0,7960.0,CUT,8:02:00.000,72.0,-1.319,-0.992,-0.739,-0.053,-1.784,-3.103,295.8,0.643,0.778,0.5,35.296,30.878,0.0,1.0,0.0,2.0,13.0,3.0,0.0,12808.0,T20,8:02:00.000,65.0,-1.419,0.405,3.874,1.037,5.316,3.897,286.1,0.786,0.889,0.75,32.63,17.394,5.0,3.0,0.0,6.0,12.0,0.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,08:02:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,19872.0,19960.0,24304.0,"riley, davis","pavon, matthieu","vilips, karl",2.4,2.4,2.9,2.9,2.9,2.9,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,19872.0,CUT,TPC Twin Cities,883.0,71.0,10.0,13:16:00.000,70.0,-3.119,0.404,1.199,0.413,2.016,-1.103,297.9,0.5,0.722,0.667,45.444,22.667,2.0,4.0,0.0,4.0,11.0,3.0,0.0,19960.0,T44,13:16:00.000,69.0,2.168,-1.478,-0.359,-0.434,-2.271,-0.103,289.3,0.643,0.778,0.4,53.382,22.433,4.0,4.0,0.0,6.0,9.0,2.0,1.0,24304.0,CUT,13:16:00.000,70.0,-3.382,0.362,1.179,0.738,2.279,-1.103,287.7,0.786,0.889,0.5,54.578,20.778,2.0,4.0,0.0,3.0,13.0,2.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,13:16:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,19865.0,20706.0,24342.0,"hardy, nick","wallace, matt","higgo, garrick",3.1,3.1,2.25,2.25,3.0,3.0,0.0,1.0,0.0,loss,win,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,19865.0,T28,TPC Twin Cities,883.0,71.0,10.0,12:43:00.000,67.0,0.038,-0.669,3.172,-0.644,1.859,1.897,297.2,0.571,0.667,0.375,24.381,18.558,7.0,5.0,0.0,6.0,10.0,2.0,0.0,20706.0,T3,12:43:00.000,65.0,0.546,0.648,2.321,0.382,3.351,3.897,299.9,0.571,0.833,0.6,15.815,25.595,6.0,2.0,1.0,5.0,11.0,1.0,0.0,24342.0,T39,12:43:00.000,68.0,-0.909,1.021,0.707,0.078,1.806,0.897,296.7,0.571,0.833,0.75,35.237,23.396,4.0,3.0,0.0,3.0,15.0,0.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:43:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,19840.0,22760.0,26649.0,"ramey, chad","hisatsune, ryo","thorbjornsen, michael",3.3,3.3,3.0,3.0,2.15,2.15,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,19840.0,T28,TPC Twin Cities,883.0,71.0,10.0,8:13:00.000,63.0,2.606,0.133,1.553,1.605,3.291,5.897,292.5,0.929,0.833,1.0,13.901,20.209,3.0,3.0,0.0,9.0,8.0,1.0,0.0,22760.0,CUT,8:13:00.000,72.0,0.7,-1.806,-2.353,0.356,-3.803,-3.103,293.8,0.5,0.611,0.625,51.662,24.186,2.0,6.0,0.0,2.0,13.0,3.0,0.0,26649.0,CUT,8:13:00.000,76.0,-0.877,-0.992,-2.382,-2.852,-6.226,-7.103,291.0,0.643,0.611,0.429,22.911,26.557,3.0,8.0,0.0,3.0,10.0,3.0,2.0,45.1772759150365,-93.21330371989598,2025-07-24,08:13:00,71.4,71.4,92.25,69.1,0.0,0.0,,7.3,12.1,344.0,1014.1,9.9,87.9,Partially cloudy,partly-cloudy-day,08:00:00,1753362000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,19396.0,26096.0,29770.0,"knapp, jake","bhatia, akshay","mouw, william",2.4,2.4,2.5,2.5,3.4,3.4,1.0,0.0,0.0,win,loss,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,19396.0,T3,TPC Twin Cities,883.0,71.0,1.0,13:05:00.000,64.0,0.071,-0.151,2.45,2.527,4.826,4.897,311.8,0.786,0.944,0.667,17.048,22.288,5.0,0.0,1.0,5.0,12.0,0.0,0.0,26096.0,T25,13:05:00.000,66.0,1.684,0.007,-0.13,1.336,1.213,2.897,298.2,0.786,0.722,0.857,33.26,27.516,4.0,3.0,0.0,7.0,9.0,2.0,0.0,29770.0,T7,13:05:00.000,66.0,2.534,-0.286,0.447,0.202,0.363,2.897,294.6,0.643,0.833,1.0,22.669,25.978,5.0,2.0,0.0,5.0,13.0,0.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,13:05:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,7820.0,13367.0,14698.0,"palmer, ryan","merritt, troy","bramlett, joseph",4.0,4.0,2.9,2.9,1.95,1.95,0.5,0.5,0.0,dead-heat: 1 for 2,dead-heat: 1 for 2,loss,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,7820.0,CUT,TPC Twin Cities,883.0,71.0,10.0,12:21:00.000,68.0,0.51,1.071,-1.029,0.345,0.387,0.897,295.4,0.571,0.722,0.429,33.177,39.109,5.0,6.0,1.0,5.0,8.0,4.0,0.0,13367.0,T44,12:21:00.000,68.0,-1.994,0.115,2.727,0.049,2.891,0.897,287.1,0.786,0.944,1.0,35.517,19.953,1.0,1.0,0.0,3.0,15.0,0.0,0.0,14698.0,T44,12:21:00.000,69.0,-1.019,0.873,-1.963,2.006,0.916,-0.103,305.2,0.857,0.833,0.4,76.781,24.64,2.0,2.0,0.0,5.0,11.0,1.0,1.0,45.1772759150365,-93.21330371989598,2025-07-24,12:21:00,77.6,77.6,70.03,67.1,0.0,0.0,,5.8,14.5,351.0,1015.2,9.9,89.0,Partially cloudy,partly-cloudy-day,12:00:00,1753376400.0
R1 3-Ball,Ties settled by dead-heat rules,22JUL25:14:30:00,24JUL25:06:30:00,17723.0,18761.0,25002.0,"lower, justin","mullinax, trey","wu, dylan",2.75,2.75,2.8,2.8,2.6,2.6,0.0,0.0,1.0,loss,loss,win,draftkings,2025-07-27,3M Open,2025,2025,525,,1.0,pga,17723.0,CUT,TPC Twin Cities,883.0,71.0,10.0,12:32:00.000,71.0,-0.091,-0.503,-1.5,-0.009,-2.012,-2.103,283.0,0.571,0.667,0.833,37.927,21.351,2.0,3.0,0.0,2.0,14.0,2.0,0.0,18761.0,CUT,12:32:00.000,76.0,-3.895,-0.319,-1.532,-1.357,-3.208,-7.103,297.0,0.5,0.722,0.333,38.48,25.846,2.0,8.0,0.0,1.0,13.0,2.0,2.0,25002.0,DQ,12:32:00.000,70.0,-0.549,-0.782,-0.424,0.652,-0.554,-1.103,290.3,0.714,0.611,0.7,36.359,28.103,2.0,4.0,0.0,2.0,15.0,1.0,0.0,45.1772759150365,-93.21330371989598,2025-07-24,12:32:00,80.0,82.4,65.0,67.2,0.0,0.0,,7.4,18.3,325.0,1015.2,9.9,62.2,Partially cloudy,partly-cloudy-day,13:00:00,1753380000.0
